City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boueni,-12.9,45.08,80.6,74.0,20.0,6.93,YT,1605544415.0
1,mortka,59.33,66.02,12.25,91.0,86.0,5.21,RU,1605544415.0
2,turkistan,43.0,68.0,20.23,84.0,0.0,7.43,KZ,1605544415.0
3,nikolskoye,59.7,30.79,34.0,86.0,90.0,6.71,RU,1605544415.0
4,bethel,41.37,-73.41,50.0,43.0,20.0,12.75,US,1605544221.0
5,general pico,-35.66,-63.76,85.12,20.0,0.0,7.47,AR,1605544269.0
6,mys shmidta,,,,,,,,
7,albany,42.6,-73.97,46.99,46.0,51.0,5.01,US,1605544159.0
8,nhulunbuy,-12.23,136.77,78.8,74.0,87.0,4.7,AU,1605544415.0
9,yellowknife,62.46,-114.35,5.0,92.0,75.0,5.82,CA,1605544142.0
10,saint-augustin,51.23,-58.65,35.64,86.0,100.0,21.3,CA,1605544415.0
11,palmerston north,-40.35,175.62,57.0,76.0,53.0,3.0,NZ,1605544415.0
12,puerto ayora,-0.74,-90.35,75.2,73.0,75.0,16.11,EC,1605544416.0
13,georgetown,5.41,100.34,78.8,94.0,20.0,2.24,MY,1605544325.0
14,peniche,39.36,-9.38,64.99,74.0,99.0,4.0,PT,1605544416.0
15,ribeira grande,38.52,-28.7,68.0,88.0,75.0,19.46,PT,1605544416.0
16,erzin,36.96,36.2,66.99,59.0,0.0,3.87,TR,1605544416.0
17,vestmannaeyjar,63.44,-20.27,39.2,75.0,75.0,11.41,IS,1605544416.0
18,ushuaia,-54.8,-68.3,50.0,46.0,40.0,48.32,AR,1605544416.0
19,new norfolk,-42.78,147.06,51.01,77.0,25.0,3.0,AU,1605544416.0
20,grimshaw,56.18,-117.6,12.99,85.0,90.0,13.87,CA,1605544416.0
21,port alfred,-33.59,26.89,68.41,85.0,99.0,16.26,ZA,1605544416.0
22,jamestown,42.1,-79.24,37.99,69.0,90.0,20.8,US,1605544149.0
23,punta arenas,-53.15,-70.92,55.4,50.0,0.0,38.03,CL,1605544330.0
24,port augusta,-32.5,137.77,59.0,72.0,40.0,9.17,AU,1605544416.0
26,mataura,-46.19,168.86,55.99,88.0,96.0,10.0,NZ,1605544416.0
27,lebu,-37.62,-73.65,57.04,66.0,0.0,20.0,CL,1605544416.0
28,mar del plata,-38.0,-57.56,64.4,55.0,0.0,10.29,AR,1605544365.0
29,belushya guba,,,,,,,,
30,nambucca heads,-30.65,153.0,73.4,88.0,40.0,13.87,AU,1605544416.0
31,dikson,73.51,80.55,30.88,99.0,100.0,18.7,RU,1605544416.0
32,rikitea,-23.12,-134.97,75.69,78.0,38.0,10.47,PF,1605544417.0
33,qaanaaq,77.48,-69.36,-0.62,82.0,99.0,5.82,GL,1605544417.0
34,dole,47.08,5.5,51.8,76.0,90.0,3.36,FR,1605544417.0
35,herat,34.5,62.0,44.6,42.0,0.0,2.24,AF,1605544125.0
36,bambous virieux,-20.34,57.76,73.4,56.0,75.0,9.17,MU,1605544417.0
37,chuy,-33.7,-53.46,70.59,49.0,24.0,13.29,UY,1605544417.0
38,kavieng,-2.57,150.8,81.21,81.0,82.0,10.4,PG,1605544417.0
39,bluff,-46.6,168.33,55.99,88.0,100.0,10.0,NZ,1605544417.0
40,cabo san lucas,22.89,-109.91,75.99,73.0,5.0,2.24,MX,1605544219.0
41,zvishavane,-20.33,30.07,79.92,26.0,13.0,9.48,ZW,1605544417.0
42,starodub,52.58,32.76,25.88,94.0,97.0,13.35,RU,1605544417.0
43,amderma,,,,,,,,
44,lavrentiya,65.58,-171.0,31.37,96.0,100.0,16.08,RU,1605544417.0
45,bengkulu,-3.8,102.27,76.5,93.0,100.0,4.43,ID,1605544417.0
46,oranjemund,-28.55,16.43,61.0,81.0,5.0,15.79,,1605544417.0
47,matara,5.95,80.54,77.0,89.0,100.0,4.99,LK,1605544417.0
49,hermanus,-34.42,19.23,66.0,66.0,80.0,3.0,ZA,1605544417.0
50,ostrovnoy,68.05,39.51,34.23,89.0,93.0,33.15,RU,1605544417.0
51,saint-philippe,-21.36,55.77,71.6,56.0,75.0,9.17,RE,1605544418.0
52,ilulissat,69.22,-51.1,14.0,36.0,20.0,16.11,GL,1605544353.0
53,rajanpur,29.1,70.33,62.82,52.0,0.0,10.42,PK,1605544418.0
54,hami,42.8,93.45,36.1,73.0,100.0,7.76,CN,1605544418.0
55,atuona,-9.8,-139.03,78.44,69.0,1.0,14.72,PF,1605544418.0
56,coquimbo,-29.95,-71.34,59.0,72.0,75.0,8.05,CL,1605544418.0
57,nanortalik,60.14,-45.24,28.4,85.0,0.0,3.65,GL,1605544418.0
58,nara,34.69,135.8,57.0,74.0,0.0,1.32,JP,1605544161.0
59,taolanaro,,,,,,,,
60,ponta do sol,32.67,-17.1,73.4,78.0,40.0,23.04,PT,1605544418.0
61,yulara,-25.24,130.99,75.2,25.0,42.0,9.17,AU,1605544418.0
62,calabozo,8.92,-67.43,86.74,69.0,24.0,8.23,VE,1605544418.0
63,austintown,41.1,-80.76,43.0,60.0,75.0,12.75,US,1605544418.0
65,maloshuyka,,,,,,,,
66,kuche,,,,,,,,
67,salvador,13.83,-88.92,87.8,74.0,20.0,9.17,SV,1605544358.0
68,hualmay,-11.1,-77.61,70.36,65.0,97.0,12.1,PE,1605544418.0
69,ballina,-28.87,153.57,73.4,83.0,3.0,5.82,AU,1605544418.0
70,severo-kurilsk,50.68,156.12,33.82,86.0,70.0,8.72,RU,1605544418.0
71,pevek,69.7,170.31,10.74,96.0,100.0,2.33,RU,1605544418.0
72,embu,-23.65,-46.85,82.4,51.0,20.0,12.75,BR,1605544172.0
73,flinders,-34.58,150.86,64.0,85.0,78.0,8.16,AU,1605544419.0
74,vila velha,-20.33,-40.29,87.8,66.0,20.0,13.87,BR,1605544147.0
75,torbay,47.67,-52.73,37.0,74.0,90.0,12.75,CA,1605544419.0
76,busselton,-33.65,115.33,60.01,76.0,100.0,9.42,AU,1605544419.0
77,makungu,-8.73,35.28,66.16,90.0,88.0,4.43,TZ,1605544419.0
78,rock sound,24.9,-76.2,79.65,77.0,18.0,15.61,BS,1605544419.0
79,armacao dos buzios,,,,,,,,
80,tuktoyaktuk,69.45,-133.04,3.2,77.0,40.0,9.17,CA,1605544419.0
81,faanui,-16.48,-151.75,79.38,77.0,5.0,8.99,PF,1605544419.0
